tahun,bulan,jumlah,Jenis Wisatawan
2018,januari,210983,Wisatawan Mancanegara
2018,februari,203418,Wisatawan Mancanegara
2018,maret,223968,Wisatawan Mancanegara
2018,april,244612,Wisatawan Mancanegara
2018,mei,19035,Wisatawan Mancanegara
2018,juni,182943,Wisatawan Mancanegara
2018,juli,321631,Wisatawan Mancanegara
2018,agustus,308447,Wisatawan Mancanegara
2018,september,250180,Wisatawan Mancanegara
2018,oktober,243458,Wisatawan Mancanegara
2018,november,206905,Wisatawan Mancanegara
2018,desember,225076,Wisatawan Mancanegara
2019,januari,175472,Wisatawan Mancanegara
2019,februari,195961,Wisatawan Mancanegara
2019,maret,219500,Wisatawan Mancanegara
2019,april,198209,Wisatawan Mancanegara
2019,mei,157367,Wisatawan Mancanegara
2019,juni,191550,Wisatawan Mancanegara
2019,juli,268258,Wisatawan Mancanegara
2019,agustus,253176,Wisatawan Mancanegara
2019,september,212912,Wisatawan Mancanegara
2019,oktober,189416,Wisatawan Mancanegara
2019,november,184521,Wisatawan Mancanegara
2019,desember,186810,Wisatawan Mancanegara
2020,januari,173614,Wisatawan Mancanegara
2020,februari,131237,Wisatawan Mancanegara
2020,maret,52721,Wisatawan Mancanegara
2020,april,424,Wisatawan Mancanegara
2020,mei,414,Wisatawan Mancanegara
2020,juni,924,Wisatawan Mancanegara
2020,juli,3146,Wisatawan Mancanegara
2020,agustus,4487,Wisatawan Mancanegara
2020,september,7528,Wisatawan Mancanegara
2020,oktober,10529,Wisatawan Mancanegara
2020,november,36736,Wisatawan Mancanegara
2020,desember,21858,Wisatawan Mancanegara
2018,januari,2954886,wisatawan nusantara
2018,februari,1889194,wisatawan nusantara
2018,maret,2691487,wisatawan nusantara
2018,april,1766176,wisatawan nusantara
2018,mei,2613920,wisatawan nusantara
2018,juni,3369007,wisatawan nusantara
2018,juli,3109955,wisatawan nusantara
2018,agustus,2723238,wisatawan nusantara
2018,september,2683288,wisatawan nusantara
2018,oktober,2756945,wisatawan nusantara
2018,november,2717331,wisatawan nusantara
2018,desember,3403100,wisatawan nusantara
2019,januari,3013411,wisatawan nusantara
2019,februari,1908055,wisatawan nusantara
2019,maret,2144436,wisatawan nusantara
2019,april,2579008,wisatawan nusantara
2019,mei,1636450,wisatawan nusantara
2019,juni,6198980,wisatawan nusantara
2019,juli,5060868,wisatawan nusantara
2019,agustus,2976156,wisatawan nusantara
2019,september,2430786,wisatawan nusantara
2019,oktober,3097192,wisatawan nusantara
2019,november,2728133,wisatawan nusantara
2019,desember,4382774,wisatawan nusantara
2020,januari,1871724,wisatawan nusantara
2020,februari,2113548,wisatawan nusantara
2020,maret,768061,wisatawan nusantara
2020,april,426,wisatawan nusantara
2020,mei,0,wisatawan nusantara
2020,juni,82507,wisatawan nusantara
2020,juli,214264,wisatawan nusantara
2020,agustus,403467,wisatawan nusantara
2020,september,144847,wisatawan nusantara
2020,oktober,4095983,wisatawan nusantara
2020,november,316751,wisatawan nusantara
2020,desember,649984,wisatawan nusantara